Word,RawWSA,WSA
NAIRA,369.7,0.25
STIRE,183.7,0.11
NAGAS,1028.3,0.745
PEISY,819.4,0.588
MISER,541.1,0.378
VIVDA,930.4,0.671
DOLIE,394.2,0.268
WEAVE,377.4,0.255
UMBEL,874.3,0.629
BARMY,702.4,0.5
LOUNS,914.1,0.659
DIDOS,1077.5,0.782
VIOLD,995.7,0.72
FOWTH,730.4,0.521
GUQIN,1019.3,0.738
KAYOS,934.3,0.674
FINCA,423.7,0.29
TATHS,658.1,0.466
ELIAD,256.9,0.165
DORTS,226.8,0.142
COOEY,611.9,0.432
DICTY,261.0,0.168
BOBAK,1084.2,0.787
LOWSE,502.8,0.35
TUILE,136.0,0.074
LAKED,340.4,0.228
TARTS,391.2,0.266
REEFY,614.1,0.433
AGAMA,446.3,0.307
THING,399.8,0.272
SHORE,319.1,0.212
NICKS,594.2,0.418
NUNNY,1087.9,0.789
AKOYA,952.6,0.688
SNAWS,626.1,0.442
WRITS,245.0,0.156
DOUBT,528.1,0.369
ALIVE,160.5,0.092
BEAUT,127.7,0.068
IBRIK,492.0,0.341
HEMPS,974.0,0.704
TOWED,476.6,0.33
CROUT,134.5,0.073
MOGUL,1063.8,0.771
HALID,752.6,0.537
PECKY,571.4,0.401
ECHED,460.4,0.318
MUSIT,425.8,0.292
COUTH,300.2,0.197
ACRON,291.7,0.191
DYNES,840.6,0.604
GOTHY,758.1,0.541
BUNDY,1068.0,0.774
SEEPS,844.0,0.606
DEEPS,873.8,0.628
PLENE,520.3,0.363
KUKUS,1251.2,0.912
PETRE,210.6,0.13
PUTTO,556.6,0.39
DARLS,312.7,0.207
WARPS,614.1,0.433
SHOJI,913.1,0.658
EMOJI,898.6,0.647
HIKED,875.0,0.629
OMITS,446.2,0.307
RAINY,348.7,0.234
FILLS,1061.2,0.769
ZINES,824.6,0.591
BORES,584.6,0.411
ALGOR,336.4,0.225
OLIVA,731.5,0.521
MIDGE,509.5,0.355
VIZOR,510.9,0.356
HAFTA,701.5,0.499
MULLA,908.9,0.655
PALED,338.2,0.226
KNEED,866.8,0.623
FIBRE,395.1,0.269
PTISH,519.0,0.362
REDAN,186.4,0.112
EXODE,584.0,0.411
ZORRO,484.1,0.336
DROLL,322.9,0.214
NIECE,366.2,0.247
SEGNO,599.6,0.422
SCEAT,314.5,0.208
TUNES,396.8,0.27
MOMPE,726.3,0.518
RADON,346.5,0.232
AKKAS,843.9,0.606
JOWLY,1213.8,0.884
GANDY,928.0,0.669
MEDII,797.9,0.571
KNELT,429.0,0.294
EVOKE,726.3,0.518
LOWTS,717.0,0.511
TEAKS,333.0,0.222
BUCKO,588.8,0.414
GROKS,567.4,0.398
LEAFY,401.8,0.274
MESES,967.8,0.699
SYNES,814.3,0.584
LATHS,656.5,0.465
ZEDAS,265.7,0.171
BLANK,661.0,0.469
JAPED,388.2,0.263
VOLED,860.7,0.619
TOXIC,265.2,0.171
REACH,321.3,0.213
NAZZY,1136.8,0.826
PUBSY,1076.0,0.78
PEDRO,479.4,0.332
CUCKS,636.1,0.45
