Word,RawWSA,WSA
SHYLY,1082.3,0.785
HELVE,484.1,0.336
MURRS,497.1,0.345
FIRRY,578.3,0.406
MAIRS,360.3,0.242
LINDY,890.2,0.641
TUTTI,477.7,0.331
KAREE,355.1,0.239
MOBOS,1368.1,1.0
LABIS,692.2,0.492
PLUKE,482.7,0.334
INSEE,451.1,0.311
BASIN,684.9,0.486
WINCH,611.2,0.431
ABOUT,355.6,0.239
TIZES,447.2,0.308
GENES,864.8,0.622
PROBE,444.0,0.305
UMIAC,383.1,0.26
SPAER,295.7,0.194
MOOTS,753.7,0.538
SEWEN,738.3,0.527
GRUED,397.9,0.271
SHIST,459.1,0.317
PERKS,499.0,0.347
TOLUS,538.8,0.377
AFIRE,115.5,0.058
POMAS,951.2,0.687
MAPOU,987.3,0.714
GULAG,908.9,0.655
ARIKI,340.1,0.227
JUPES,980.2,0.708
FALSE,368.7,0.249
NELLY,772.1,0.552
GITES,472.5,0.327
BURRY,531.0,0.371
SENDS,640.8,0.453
CANES,374.4,0.253
BEVER,625.4,0.442
KNAWE,366.6,0.247
WONGA,984.3,0.712
LIMEN,773.7,0.553
PUNGO,1061.4,0.769
STAIG,143.5,0.08
TWERK,358.5,0.241
THUMB,581.1,0.408
RESID,364.0,0.245
COPAY,574.1,0.403
STREW,278.5,0.181
OOMPH,1362.9,0.996
SAGGY,985.7,0.713
KAIDS,756.4,0.54
RUERS,426.3,0.292
NAVES,507.5,0.353
VIRLS,419.3,0.287
SEVER,437.9,0.301
PUPUS,1251.2,0.912
ETTLE,308.2,0.203
TIPUP,504.8,0.351
OLLAS,846.8,0.608
WALLY,1116.4,0.811
BULLY,1078.4,0.782
SWANG,630.0,0.445
DOSER,479.9,0.332
URENT,152.9,0.087
POCAN,571.2,0.401
SPILE,453.0,0.312
OCCUR,358.4,0.241
RISUS,401.1,0.273
MAKAF,1236.7,0.901
SABOT,418.5,0.286
YAMUN,916.0,0.66
MATAI,406.0,0.277
DURZI,467.5,0.323
VOUGE,576.3,0.405
MACKA,755.0,0.539
GRRRL,367.1,0.248
AVELS,281.6,0.183
SORTS,331.7,0.221
GLIDE,409.1,0.279
MENES,864.8,0.622
CRANE,311.3,0.206
AZINE,184.5,0.11
NOSED,851.8,0.612
XOANA,528.2,0.369
UTERI,194.1,0.118
OBELI,772.6,0.552
TROTS,305.1,0.201
SIMBA,702.9,0.5
WIRER,588.6,0.414
PARTY,421.1,0.288
POTAI,376.9,0.255
REGES,502.9,0.35
GOMBO,1199.1,0.873
GRUME,305.9,0.202
HAWED,388.2,0.263
WAGYU,1015.9,0.735
UPBOW,1212.9,0.883
MARES,388.3,0.264
NUSED,826.9,0.593
SYNOD,908.2,0.654
HEMIC,376.1,0.254
TWERP,358.5,0.241
TRYMA,374.4,0.253
TEENY,429.0,0.294
UVEAL,356.9,0.24
CREPT,222.3,0.139
HYPHY,1309.6,0.956
PERST,234.3,0.148
LORDS,349.1,0.234
BEGAN,544.3,0.381
THRUM,251.0,0.16
NOCKS,747.1,0.533
ORNEE,412.9,0.282
KRAIS,168.8,0.099
IGLUS,930.1,0.671
SLOES,937.6,0.676
APOLS,741.1,0.529
CYCLO,434.9,0.299
BACKY,755.0,0.539
RICHT,215.5,0.134
MOIST,376.0,0.254
DROID,407.6,0.278
STAND,247.7,0.158
BONIE,477.8,0.331
FETUS,497.0,0.345
TERAS,306.7,0.202
BLARE,301.6,0.198
NAPOO,895.6,0.645
DICED,365.6,0.246
MALTS,647.8,0.459
SHEND,685.9,0.487
BOARS,241.5,0.153
CHARM,437.4,0.3
MAYOS,934.3,0.674
SUETS,469.3,0.324
ANTSY,226.9,0.142
BREVE,390.7,0.265
PINAS,729.9,0.52
SPRUG,346.0,0.232
RECIT,98.1,0.045
HALTS,647.8,0.459
DATER,137.6,0.075
MOGOS,1368.1,1.0
AFOAM,952.6,0.688
PLOCE,345.6,0.231
INULA,710.6,0.506
SETAE,291.5,0.191
RADDY,405.1,0.276
LAWNS,898.1,0.647
GENIP,718.9,0.512
XRAYS,420.5,0.288
RAKED,228.4,0.143
MAXIM,893.2,0.643
REEAF,455.6,0.314
SWALE,308.5,0.204
WILLS,1061.2,0.769
MIDIS,1078.3,0.782
SCIRE,179.6,0.107
STONN,564.7,0.396
KINKS,1087.5,0.789
ZEROS,552.3,0.387
VATAS,681.0,0.484
DOGIE,507.1,0.353
SERRY,397.3,0.27
PEPSI,818.0,0.587
VIAND,374.4,0.253
ACENE,138.7,0.076
ALOFT,336.9,0.225
BEALS,378.8,0.256
KANEH,559.9,0.393
YIRKS,565.2,0.396
PILED,754.7,0.539
BAJRA,674.1,0.478
LESOS,935.8,0.675
RENIN,420.9,0.288
BONUS,1090.4,0.791
WAUFF,1015.9,0.735
CRINK,423.2,0.29
LYSES,955.7,0.69
KNACK,547.1,0.383
RECON,466.3,0.322
CANNS,627.9,0.444
DEVEL,782.9,0.56
SPAYD,450.1,0.31
THROB,389.1,0.264
GAPER,464.0,0.32
ARISE,61.5,0.018
MODER,545.6,0.382
BLUID,969.8,0.701
BERKO,500.5,0.348
AGILE,165.5,0.096
KAMAS,1128.2,0.82
ASSAI,773.9,0.553
SLITS,497.8,0.346
MATTE,323.2,0.215
SPADS,450.1,0.31
STOOL,704.6,0.501
ASHET,137.4,0.075
URAEI,37.7,0.0
PULLS,1097.2,0.796
FIRMS,565.2,0.396
MOULE,479.5,0.332
ROBER,643.5,0.455
BYDES,923.1,0.666
MODII,1141.7,0.83
EALED,338.2,0.226
TACHE,291.2,0.191
BEBOP,1070.5,0.776
SWAPT,476.9,0.33
GUAVA,518.7,0.362
CURLY,242.3,0.154
SOLON,1003.0,0.726
ARGUE,108.7,0.053
COVET,405.6,0.277
SKOAL,799.5,0.573
MOSSO,1029.1,0.745
HADED,354.2,0.238
SHORL,458.2,0.316
DOUPS,1194.2,0.869
HIVES,927.6,0.669
BULLS,1097.2,0.796
TRUCE,98.6,0.046
KATAL,692.2,0.492
THUGS,592.8,0.417
ARLES,97.5,0.045
DROWN,451.4,0.311
SKAGS,658.9,0.467
BABEL,549.2,0.384
REVET,320.4,0.212
NOVEL,909.4,0.655
ALAYS,349.6,0.234
CODAS,385.5,0.261
RACHE,302.6,0.199
PUNJI,1021.4,0.739
DOUKS,1194.2,0.869
POTSY,594.6,0.419
DIOLS,934.5,0.674
AMNIC,390.3,0.265
EVICT,227.3,0.143
BAUDS,880.8,0.634
HOSTA,470.6,0.325
DOWIE,507.1,0.353
WIZEN,884.6,0.637
MICKS,614.9,0.434
SHOWY,1178.2,0.857
ZOEAE,276.9,0.18
TOXIN,384.8,0.261
NODED,848.7,0.61
BLEAT,401.2,0.273
KIAAT,203.0,0.124
TOYED,476.6,0.33
AZURN,401.0,0.273
PUPAE,238.5,0.151
GREES,431.2,0.296
OOPAK,1084.2,0.787
YAHOO,995.5,0.72
WISTS,600.8,0.423
OVOLI,1018.3,0.737
PINES,824.6,0.591
FOAMS,499.8,0.347
NEVES,864.8,0.622
PURIS,432.6,0.297
SERVE,218.4,0.136
LOVIE,423.2,0.29
YSAME,319.4,0.212
WOMAS,951.2,0.687
RELOS,465.5,0.322
SEPIA,191.6,0.116
TRADE,70.6,0.025
BUTES,525.1,0.366
MICRA,288.6,0.189
WEISE,421.1,0.288
RECUT,145.4,0.081
RISER,491.2,0.341
MBARI,251.3,0.161
DOWER,574.9,0.404
SAKAI,668.9,0.474
OCTAS,271.1,0.175
DANNY,890.4,0.641
DIVOT,483.9,0.335
COOLY,598.7,0.422
SCAPI,151.6,0.086
SALSA,838.2,0.602
EXULS,873.7,0.628
SCUDI,286.6,0.187
LEGES,879.7,0.633
VISIT,445.5,0.307
FARLE,324.1,0.215
CREST,154.0,0.087
FACED,221.2,0.138
BUKES,980.2,0.708
MOUTH,580.4,0.408
BASSE,373.9,0.253
BASTS,668.8,0.474
ALKIN,652.7,0.462
MAUSY,778.8,0.557
FORKS,637.3,0.451
DOSHA,899.7,0.648
REELY,488.1,0.339
JUNKS,1123.5,0.816
CUBED,444.7,0.306
PLOTS,715.0,0.509
DRENT,137.5,0.075
CURFS,354.2,0.238
GOBAN,984.3,0.712
SNIDE,317.2,0.21
TAROS,201.7,0.123
FUNTS,509.1,0.354
NIFFY,1151.9,0.837
VAIRS,360.3,0.242
NOGGY,1235.2,0.9
TOGES,616.7,0.435
LEVER,514.5,0.358
EGERS,556.6,0.39
ROKOS,589.3,0.415
INRUN,424.1,0.29
PLATY,486.5,0.337
ANTRE,59.1,0.016
SABAL,965.7,0.698
COCCO,536.6,0.375
POUCE,301.1,0.198
FUGIS,1082.6,0.785
RANES,347.5,0.233
OBANG,528.2,0.369
THRIP,206.6,0.127
THOFT,663.1,0.47
BASTE,296.3,0.194
STATS,469.0,0.324
MOMES,1097.1,0.796
OCOTE,297.6,0.195
GLOOP,1190.7,0.867
ADMIN,799.2,0.572
OOZLE,629.5,0.445
SLIPS,936.6,0.676
BOORD,523.8,0.365
HILUS,930.1,0.671
SMARM,405.1,0.276
ALOHA,801.9,0.574
NATAK,623.0,0.44
KNUBS,1102.3,0.8
AVERT,100.7,0.047
DOWAK,1032.7,0.748
BRUCK,340.6,0.228
BISON,975.3,0.705
ONKUS,1090.4,0.791
LIBOR,361.8,0.244
GIVES,927.6,0.669
HARDY,493.6,0.343
GREET,247.6,0.158
CRAFT,320.7,0.213
NARRA,622.4,0.439
TETRI,311.8,0.206
AMPLE,204.8,0.126
AWAVE,144.8,0.081
THANE,303.1,0.199
HALES,515.2,0.359
ACARA,185.4,0.111
BRAKS,420.5,0.288
MOWRA,536.6,0.375
LASSY,907.0,0.653
KERMA,453.6,0.313
SHLEP,886.9,0.638
WORDS,495.0,0.344
RATHS,385.4,0.261
PAANS,647.9,0.459
AFTOS,360.6,0.243
ALONG,664.4,0.471
FRESH,410.6,0.28
NEGRO,432.5,0.297
NUKED,853.1,0.613
GATED,201.6,0.123
MANIS,684.9,0.486
EXONS,969.4,0.7
POEPS,1103.3,0.801
JOUAL,912.7,0.658
MILKO,980.2,0.708
AZIDE,191.4,0.116
POAKE,182.0,0.108
MISES,927.6,0.669
CULET,260.3,0.167
PIZED,875.0,0.629
DYKON,1092.9,0.793
CRUNK,354.1,0.238
WHOSE,547.6,0.383
BOGUS,1218.1,0.887
MOVED,981.0,0.709
GYPPY,1309.6,0.956
OSCAR,250.5,0.16
LISPS,1069.3,0.775
DANDA,928.0,0.669
MISCH,567.5,0.398
NGWEE,607.6,0.428
RYOTI,180.4,0.107
SWAYL,637.9,0.451
SNOKE,479.7,0.332
AWORK,459.0,0.317
SOPRA,349.3,0.234
ALLEY,303.6,0.2
KIDEO,849.2,0.61
CREMA,374.5,0.253
SPAED,159.4,0.091
MIRED,476.0,0.329
IDEES,815.0,0.584
CUFFS,636.1,0.45
BANED,351.1,0.236
STYRE,173.9,0.102
POIRE,279.8,0.182
LACKY,639.7,0.452
AKITA,311.0,0.205
CLIME,262.5,0.169
CURST,106.6,0.052
WADES,301.8,0.199
SAVVY,985.7,0.713
MUSKS,1251.2,0.912
STELL,548.9,0.384
SATIS,299.2,0.197
WUSSY,1076.0,0.78
ZINGS,1087.5,0.789
ERNES,420.2,0.288
CLUCK,390.1,0.265
SUSUS,1061.3,0.769
BEACH,367.4,0.248
SAOLA,771.8,0.552
RIFTE,198.5,0.121
TABUN,379.3,0.257
CRONS,445.3,0.306
INFER,565.1,0.396
SYPES,917.3,0.661
BUILD,915.1,0.66
UNFED,849.1,0.61
POMPS,1368.1,1.0
MOHUR,542.7,0.38
HOSER,622.2,0.439
AUTOS,349.2,0.234
UNSET,370.9,0.25
NEATH,342.8,0.229
MACTE,291.0,0.19
WHIST,488.2,0.339
ACRID,255.1,0.163
ECADS,124.7,0.065
MAMBA,1236.7,0.901
CHOCS,705.6,0.502
SMUSH,864.9,0.622
CYTES,358.2,0.241
THANX,482.8,0.335
RINGS,482.5,0.334
VINOS,975.3,0.705
WOFUL,1063.8,0.771
AWASH,337.9,0.226
BAYER,464.0,0.32
BOODY,1220.6,0.889
ALANS,320.7,0.213
BIRZZ,604.9,0.426
CAMPY,746.3,0.533
RETCH,245.4,0.156
MOTUS,619.8,0.438
TAISH,316.6,0.21
SCOTS,431.7,0.296
PANIM,793.3,0.568
ETHYL,531.6,0.371
KNURS,444.4,0.306
COOTS,473.5,0.328
DACKS,437.7,0.301
MUNGE,567.2,0.398
UNGAG,957.4,0.691
ELAND,181.8,0.108
EQUIP,875.1,0.629
ELITE,268.8,0.174
UNLAY,820.5,0.588
NONYL,1086.1,0.788
ROUKY,471.2,0.326
VARVE,346.3,0.232
MILTS,563.8,0.395
SOARE,85.9,0.036
GECKO,460.9,0.318
FILLY,1112.0,0.808
JILLS,1061.2,0.769
SAKTI,315.8,0.209
SCROB,316.6,0.21
TROPE,259.7,0.167
SERAL,332.9,0.222
ATOCS,118.9,0.061
SARVO,268.7,0.174
NONIC,535.2,0.374
MASSE,373.9,0.253
PICRA,288.6,0.189
DHABA,542.2,0.379
SENSI,585.0,0.411
FIBER,626.2,0.442
DARNS,346.8,0.232
BOUGE,576.3,0.405
RAYLS,471.0,0.326
TINTS,434.2,0.298
PHUTS,615.6,0.434
CHOIL,392.0,0.266
VIVRE,395.1,0.269
OSONE,505.0,0.351
KEMPS,974.0,0.704
HOLDS,1071.8,0.777
BENDS,770.8,0.551
DATIL,328.4,0.219
HOTEN,541.2,0.378
SLUMS,993.8,0.719
AMRIT,132.8,0.071
GOUGE,576.3,0.405
PIKIS,1102.3,0.8
EENSY,707.0,0.503
CLANS,450.8,0.311
DOUGH,1189.0,0.865
SCADS,258.1,0.166
BLAME,348.1,0.233
GHYLL,1160.5,0.844
BLISS,982.4,0.71
TUMPS,614.0,0.433
BUDES,922.6,0.665
SENZA,434.9,0.299
GYRES,531.3,0.371
VERTE,207.4,0.128
FLUFF,1052.6,0.763
DHAKS,484.9,0.336
HUZZY,1246.0,0.908
OMBER,717.2,0.511
PIONY,1009.3,0.73
LEAMS,378.8,0.256
AMOVE,218.9,0.136
UNBAR,485.9,0.337
PORUS,487.3,0.338
OOAAS,499.8,0.347
JANTY,601.6,0.424
LEEAR,415.1,0.284
TRULL,159.3,0.091
DROIL,258.5,0.166
NITTA,296.2,0.194
SAVEY,505.3,0.351
QAIDS,756.4,0.54
CAPHS,637.8,0.451
BRAWN,470.3,0.325
WOKKA,1084.2,0.787
MUMPH,1246.0,0.908
RATAS,385.4,0.261
HEXER,625.4,0.442
LUCID,392.4,0.267
OOBIT,495.3,0.344
PLEAT,401.2,0.273
HOLKS,1214.1,0.884
YOUKS,1218.1,0.887
DASHI,768.9,0.55
LEAPS,378.8,0.256
KILLS,1061.2,0.769
SKEIN,587.9,0.414
SHOAT,425.4,0.291
HURRA,473.6,0.328
JUVES,980.2,0.708
STROW,340.1,0.227
SHALT,472.2,0.327
LOLLO,1031.5,0.747
DUXES,929.9,0.671
CHIAS,300.4,0.197
TINED,267.6,0.173
PLEAD,359.1,0.242
PRICY,409.7,0.28
VANES,507.5,0.353
HAZES,544.6,0.381
REMEN,529.8,0.37
RUSHY,472.4,0.327
ABYSS,789.3,0.565
VARES,388.3,0.264
GALLY,1116.4,0.811
DIZEN,772.0,0.552
WEDGE,476.3,0.33
KANGA,1136.8,0.826
HAHAM,1236.7,0.901
NUQUE,567.2,0.398
SPURN,313.0,0.207
UNTIL,358.0,0.241
LAREE,324.4,0.215
MIDST,352.1,0.236
NAKER,437.6,0.301
MENED,790.8,0.566
KARSY,576.9,0.405
MASKS,1128.2,0.82
PUCER,362.9,0.244
GOORS,632.2,0.447
KNOOP,1235.2,0.9
TICKY,388.6,0.264
SARGO,268.7,0.174
SPLIT,402.8,0.274
SKEEN,814.3,0.584
STOOD,580.5,0.408
TOGAE,138.5,0.076
SLUSH,818.6,0.587
PRISE,289.6,0.189
EALES,515.2,0.359
EATER,346.4,0.232
GLAUR,224.4,0.14
PREXY,539.0,0.377
RAFFS,563.6,0.395
WEKAS,508.5,0.354
SNOUT,404.5,0.276
COURT,134.8,0.073
ILEUS,697.3,0.496
PALSY,904.6,0.652
SEVIR,299.9,0.197
RYNDS,386.1,0.262
DUCAL,413.7,0.283
OVELS,1011.8,0.732
JUICE,221.5,0.138
PLETS,543.1,0.38
WOOFY,1362.9,0.996
PANTY,601.6,0.424
TALAK,668.9,0.474
VINAS,729.9,0.52
BAPUS,907.4,0.654
WEBER,625.4,0.442
OLEIN,636.6,0.45
GAMED,388.2,0.263
TOLAN,379.8,0.257
CADEE,110.7,0.055
HOUFF,1212.9,0.883
BIZES,927.6,0.669
HOOVE,726.3,0.518
DARED,249.3,0.159
POUFS,1218.1,0.887
KUDUS,1193.6,0.869
URIAL,217.9,0.135
HIKOI,1167.4,0.849
SOAVE,121.7,0.063
FICES,418.2,0.286
RAMIE,87.6,0.038
TAMMY,700.0,0.498
RAREE,334.4,0.223
IGAPO,397.3,0.27
SETTS,519.8,0.362
TARSI,155.3,0.088
MULED,835.8,0.6
CHIMB,586.5,0.413
EMMAS,556.8,0.39
ACUTE,43.0,0.004
UMRAH,513.2,0.357
YIELD,772.2,0.552
MIREX,588.6,0.414
GRIFT,253.9,0.163
YABAS,1128.2,0.82
KILEY,867.3,0.624
RERAN,415.7,0.284
FESTY,550.5,0.385
PINGA,873.0,0.628
SEARE,279.0,0.181
MELAM,517.9,0.361
UNDUE,507.0,0.353
SIGNA,565.4,0.397
LIMBI,1130.5,0.821
PERSP,450.4,0.31
CRAMP,414.6,0.283
MIKOS,1103.0,0.801
VEERS,518.1,0.361
MOOLI,1018.3,0.737
SACKS,504.0,0.35
STURT,194.9,0.118
CHUNK,593.3,0.418
PLAAS,650.8,0.461
STOKE,309.4,0.204
LOWLY,1213.8,0.884
TURPS,248.0,0.158
CONGO,568.4,0.399
POLED,860.7,0.619
CHAYA,555.4,0.389
YEADS,182.1,0.109
GUCKY,645.7,0.457
TACIT,146.9,0.082
BORDE,317.7,0.21
ALULA,795.8,0.57
NEGRI,505.3,0.351
DEERS,417.9,0.286
TUCKS,366.7,0.247
ELEMI,863.0,0.62
AWAYS,392.5,0.267
BETHS,581.8,0.409
OFURO,488.6,0.339
DAHLS,826.8,0.593
MORRA,512.0,0.357
ABEAR,247.4,0.158
SLAYS,636.5,0.45
PONGY,1235.2,0.9
PURPY,557.6,0.391
DOBLA,916.7,0.661
BLEAK,567.9,0.399
GEBUR,563.8,0.395
OOJAH,1084.2,0.787
PANDY,928.0,0.669
UNOLD,912.2,0.657
WHEEN,967.0,0.699
GLEES,941.8,0.68
ENSEW,940.8,0.679
HERYE,368.2,0.248
NODUM,1057.6,0.767
FLOOR,520.5,0.363
VOLTI,490.9,0.341
BEDEW,873.3,0.628
AULAS,722.2,0.515
ABATE,82.1,0.033
SORNS,429.1,0.294
PELTA,398.0,0.271
NAAMS,644.0,0.456
DOOMS,1225.8,0.893
IZARD,208.8,0.129
CLUNG,421.1,0.288
GORSY,593.4,0.418
TAGUA,479.2,0.332
LURVE,246.3,0.157
HEJRA,445.1,0.306
MPRET,335.6,0.224
APPAM,973.4,0.703
DURES,417.4,0.285
EMYDS,949.8,0.686
LEMUR,437.8,0.301
HAAFS,676.8,0.48
GAITA,351.7,0.236
SOWSE,517.3,0.36
GAMUT,461.2,0.318
SLOTH,693.1,0.493
LOWER,606.3,0.427
AZOTH,375.8,0.254
TERRA,341.9,0.229
HOLTS,716.7,0.51
TABOR,236.1,0.149
SHAMS,658.9,0.467
HIGHS,1215.2,0.885
SPIED,659.5,0.467
RAGIS,308.7,0.204
BROGS,567.4,0.398
LIGER,515.3,0.359
WELCH,413.5,0.282
OXBOW,1362.9,0.996
TREAT,295.5,0.194
BAGIE,185.8,0.111
OSLIN,810.1,0.581
RUTIN,133.7,0.072
PIROG,492.7,0.342
HUSOS,1196.2,0.871
PLANS,621.9,0.439
CELLI,344.9,0.231
HINKY,1151.9,0.837
MODIN,1014.0,0.734
SIKER,448.6,0.309
LADER,173.4,0.102
RAJAS,563.6,0.395
TAROC,164.7,0.095
DEBEL,782.9,0.56
GLADS,442.0,0.304
SACRA,333.2,0.222
AZURE,119.3,0.061
PADDY,993.9,0.719
REFEL,480.0,0.332
SANAD,677.0,0.481
CREIN,279.0,0.181
BIZZO,1147.8,0.834
DROOL,322.9,0.214
LUBRA,382.2,0.259
SPANS,630.0,0.445
GUTTA,469.0,0.324
WHINY,1043.5,0.756
JORAM,540.1,0.378
AFARA,251.9,0.161
JIVEY,987.6,0.714
DOWEL,870.1,0.626
PIZZA,972.9,0.703
GOOMY,1362.9,0.996
MANTA,601.6,0.424
QUBIT,486.1,0.337
TIDED,349.3,0.234
FIEST,404.7,0.276
OLLAV,912.6,0.658
SLINK,778.5,0.557
WHIZZ,1201.6,0.875
HADST,266.7,0.172
CORSE,253.8,0.162
ALOOS,727.6,0.519
COTED,271.4,0.176
TAMIN,256.6,0.165
AVISE,143.7,0.08
CTENE,234.4,0.148
SIDES,667.2,0.473
STOWP,722.8,0.515
WAITS,339.5,0.227
GOVED,981.0,0.709
DOWNS,1067.7,0.774
RIKWA,456.4,0.315
DECIM,354.9,0.238
PEEPY,1017.2,0.736
ROZET,372.6,0.252
DYKED,969.8,0.701
APORT,169.2,0.099
THERM,358.5,0.241
BOTEL,609.1,0.429
WHITY,569.1,0.399
CACHE,344.7,0.231
SCROD,174.3,0.103
RAPED,228.4,0.143
POORI,484.3,0.336
BRAAI,246.4,0.157
HELIO,654.7,0.464
FLANK,661.0,0.469
ARTER,78.1,0.03
SANTO,291.5,0.191
LIPOS,957.1,0.691
LAPAS,1035.6,0.75
BOSSY,1192.9,0.868
OSMOL,1222.2,0.89
SUMIS,892.7,0.643
TURMS,248.0,0.158
CORNO,340.6,0.228
BIBBS,1215.2,0.885
THRID,185.4,0.111
SPAHI,343.6,0.23
CAUSE,58.7,0.016
TAIKO,301.7,0.198
ALLAY,801.8,0.574
TIMBO,504.1,0.351
KNEAD,383.8,0.26
PYXIE,530.5,0.37
TERZA,346.8,0.232
NOOPS,1240.4,0.904
MURLS,374.5,0.253
PILAU,789.6,0.565
SHAHS,658.9,0.467
RECCE,298.4,0.196
PREMS,437.4,0.3
GABLE,416.9,0.285
TROUT,172.5,0.101
GLODE,478.5,0.331
LITAS,346.8,0.232
SKUGS,1040.1,0.753
FAGOT,488.1,0.339
CESTI,238.4,0.151
NINTA,296.2,0.194
AURAE,112.8,0.056
WURST,181.9,0.108
POOED,981.0,0.709
YELTS,531.5,0.371
DIVAS,787.3,0.563
MOODY,1220.6,0.889
TICKS,330.7,0.22
ULNAD,780.1,0.558
BOLDO,1019.4,0.738
PERVS,499.0,0.347
DISHY,1102.6,0.8
CORDA,319.8,0.212
RACKS,425.5,0.291
BADDY,993.9,0.719
PREST,180.6,0.107
KYLIX,999.1,0.723
ZOWEE,703.1,0.5
CUECA,206.0,0.127
IMINO,911.7,0.657
DRAYS,211.7,0.131
MORON,624.8,0.441
QUINS,884.2,0.636
DAMNS,781.9,0.559
BLOAT,468.5,0.324
JEBEL,883.1,0.635
JETON,538.5,0.376
PUKUS,1251.2,0.912
LYING,894.4,0.644
LATKE,318.8,0.211
WASPS,1128.2,0.82
SNUGS,912.4,0.657
HARDS,405.3,0.276
HOBOS,1368.1,1.0
DIGHT,506.1,0.352
LAIRS,267.7,0.173
EARDS,169.7,0.099
NGAPI,413.0,0.282
STELE,248.5,0.158
BIVVY,1279.6,0.933
SMITS,509.9,0.355
AKENE,223.8,0.14
EPEES,1043.8,0.756
BEGOT,610.6,0.431
CURDY,341.1,0.228
KIBBI,1279.6,0.933
BOLIX,988.6,0.715
MACHS,646.5,0.458
SPOTS,705.2,0.502
SCURS,178.4,0.106
BOWER,717.2,0.511
PERIS,358.3,0.241
OTAKU,264.4,0.17
AHEAD,351.0,0.235
AMARI,200.6,0.122
DONGA,932.8,0.673
GAGER,464.0,0.32
RIOTS,168.6,0.098
DITED,395.9,0.269
FLOTE,367.9,0.248
DANTS,360.1,0.242
SPREE,254.2,0.163
HOGEN,1020.3,0.739
PHLOX,1195.3,0.87
ROTED,237.8,0.15
COYLY,598.7,0.422
MEATY,352.5,0.237
HUDUD,1188.4,0.865
LOWNS,1064.1,0.771
HIVED,875.0,0.629
CUKES,468.8,0.324
FIDUS,1076.9,0.781
SEASE,311.6,0.206
YAKOW,1042.8,0.755
MANNY,1099.2,0.798
TATIE,68.1,0.023
JEWEL,883.1,0.635
MORAL,424.1,0.29
REEST,245.6,0.156
GOAFS,499.8,0.347
AXILE,165.5,0.096
PLOYS,1205.5,0.878
CACAO,505.1,0.351
SUNKS,933.6,0.673
THUYA,484.9,0.336
NEWIE,412.3,0.282
NASHO,787.1,0.563
TRITE,199.7,0.122
SMILY,940.3,0.678
LEUDS,764.6,0.546
BRILL,396.2,0.269
OMNES,994.1,0.719
BODOH,1191.3,0.867
SLOID,842.7,0.605
JAAPS,676.8,0.48
SPIER,442.5,0.304
CREDS,211.5,0.131
SKIOS,870.7,0.626
TOPER,411.4,0.281
TUBAE,100.1,0.047
GLOBS,1205.5,0.878
HEVEA,553.1,0.387
FEDAI,267.6,0.173
OREAD,172.9,0.102
TOPHS,730.9,0.521
KAROO,461.2,0.318
ABIUS,755.4,0.539
NERFS,437.9,0.301
EMIRS,522.7,0.365
POCKY,762.6,0.545
MOYLS,1222.2,0.89
CHARS,370.2,0.25
ALLOD,771.5,0.552
BRAVO,240.4,0.152
PAPER,464.0,0.32
LOPPY,1213.8,0.884
POUPT,552.0,0.387
BLADE,139.3,0.076
AGAPE,144.8,0.081
DINGY,1039.3,0.753
MIRIN,442.3,0.304
HEFTS,550.5,0.385
ROYNE,393.3,0.267
GROMS,567.4,0.398
MANTE,308.9,0.204
CZARS,370.2,0.25
YEAHS,390.9,0.265
COMAL,458.1,0.316
EATHE,323.3,0.215
GALVO,875.2,0.63
NEXTS,447.5,0.308
HERON,603.2,0.425
FAVUS,907.4,0.654
TOMBS,730.9,0.521
BROGH,614.3,0.433
SULFO,956.9,0.691
MOTHY,758.1,0.541
ROVED,501.2,0.348
JETES,575.6,0.404
RUDIE,221.9,0.138
AZOIC,399.2,0.272
DALEK,338.2,0.226
HOORD,523.8,0.365
SUNTS,460.6,0.318
CREEK,390.1,0.265
ONGON,1235.2,0.9
TOTEM,618.9,0.437
WALIS,689.8,0.49
HOLMS,1214.1,0.884
DATTO,451.3,0.311
SLAKE,308.5,0.204
ATAXY,209.1,0.129
AIMAG,908.3,0.654
YOKEG,1123.3,0.816
AJUGA,946.5,0.683
MAGNA,1099.2,0.798
FIRNS,510.2,0.355
HETHS,581.8,0.409
NOIAS,664.1,0.471
ARILS,159.4,0.091
COOED,469.6,0.325
MAWKY,1236.7,0.901
LEMMA,529.4,0.37
JISMS,1215.2,0.885
SWINK,824.8,0.592
RENGA,429.2,0.294
BABES,544.6,0.381
HYLAS,1054.2,0.764
GRIFF,545.3,0.382
LUTES,503.9,0.35
TUMMY,602.3,0.424
SPEUG,835.2,0.599
CRABS,353.5,0.237
LAPPY,1121.4,0.815
BRUST,124.9,0.066
OCCAM,585.0,0.411
ERODE,301.7,0.198
FILMI,1112.0,0.808
CHAAT,443.3,0.305
BURGH,557.6,0.391
HOAED,150.5,0.085
BARKY,702.4,0.5
YUCAS,413.6,0.283
MIASM,349.5,0.234
RAGUS,342.8,0.229
KEBAB,581.4,0.409
SWEES,917.3,0.661
LOIRS,293.4,0.192
LATTE,318.8,0.211
JIHAD,930.4,0.671
GLAIR,167.3,0.097
SCALL,445.9,0.307
NUKES,877.2,0.631
LUMPS,1105.3,0.802
CROON,491.8,0.341
ACING,371.4,0.251
BLETS,543.1,0.38
CARNY,526.7,0.368
YOPPO,1199.1,0.873
MUDRA,480.0,0.332
YELLS,877.1,0.631
JOCOS,767.8,0.549
